2025-04-28 14:15:41,857 p=97927 u=blizzar n=ansible INFO| ok: [zawarudo] => (item=docker-buildx-plugin)
2025-04-28 14:15:43,362 p=97927 u=blizzar n=ansible INFO| ok: [zawarudo] => (item=docker-compose-plugin)
2025-04-28 14:15:43,367 p=97927 u=blizzar n=ansible INFO| PLAY RECAP *****************************************************************************************************************************************************
2025-04-28 14:15:43,367 p=97927 u=blizzar n=ansible INFO| zawarudo                   : ok=9    changed=0    unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
2025-04-28 14:15:54,523 p=98583 u=blizzar n=ansible INFO| [DEPRECATION WARNING]: community.general.yaml has been deprecated. The plugin has been superseded by the the option `result_format=yaml` in callback plugin 
ansible.builtin.default from ansible-core 2.13 onwards. This feature will be removed from community.general in version 13.0.0. Deprecation warnings can be 
disabled by setting deprecation_warnings=False in ansible.cfg.
2025-04-28 14:15:54,539 p=98583 u=blizzar n=ansible INFO| PLAY [test] ****************************************************************************************************************************************************
2025-04-28 14:15:54,544 p=98583 u=blizzar n=ansible INFO| TASK [Gathering Facts] *****************************************************************************************************************************************
2025-04-28 14:15:55,734 p=98583 u=blizzar n=ansible WARNING| [WARNING]: Platform linux on host zawarudo is using the discovered Python interpreter at /usr/bin/python3.11, but future installation of another Python
interpreter could change the meaning of that path. See https://docs.ansible.com/ansible-core/2.18/reference_appendices/interpreter_discovery.html for more
information.

2025-04-28 14:15:55,734 p=98583 u=blizzar n=ansible INFO| ok: [zawarudo]
2025-04-28 14:15:55,736 p=98583 u=blizzar n=ansible INFO| TASK [../../roles/deb-setup : Upgrade all packages] ************************************************************************************************************
2025-04-28 14:15:56,759 p=98583 u=blizzar n=ansible INFO| ok: [zawarudo]
2025-04-28 14:15:56,762 p=98583 u=blizzar n=ansible INFO| TASK [../../roles/deb-setup : Install required packages] *******************************************************************************************************
2025-04-28 14:15:57,537 p=98583 u=blizzar n=ansible INFO| ok: [zawarudo] => (item=vim)
2025-04-28 14:15:58,304 p=98583 u=blizzar n=ansible INFO| ok: [zawarudo] => (item=apt-transport-https)
2025-04-28 14:15:59,079 p=98583 u=blizzar n=ansible INFO| ok: [zawarudo] => (item=ca-certificates)
